Frame,Timestamp,Student ID,Emotion,Focus,Focus % (overall),Total Students
3200,15:24:22,1,fear,Focused,100.0,1
3210,15:24:23,1,fear,Focused,100.0,1
3220,15:24:23,1,fear,Focused,100.0,1
3230,15:24:23,1,fear,Focused,100.0,1
3240,15:24:23,1,fear,Focused,100.0,1
3250,15:24:23,1,fear,Focused,100.0,1
3260,15:24:23,1,happy,Distracted,0.0,1
3270,15:24:23,1,fear,Focused,100.0,1
3280,15:24:23,1,fear,Focused,100.0,1
3290,15:24:23,1,fear,Focused,100.0,1
3300,15:24:23,1,fear,Focused,100.0,1
3310,15:24:24,1,fear,Focused,100.0,1
3320,15:24:24,1,fear,Focused,100.0,1
3330,15:24:24,1,fear,Focused,100.0,1
3340,15:24:24,1,neutral,Distracted,0.0,1
3350,15:24:24,1,fear,Focused,100.0,1
3360,15:24:24,1,fear,Focused,100.0,1
3370,15:24:24,1,fear,Focused,100.0,1
3380,15:24:24,1,fear,Focused,100.0,1
3390,15:24:24,1,fear,Focused,100.0,1
3400,15:24:24,1,fear,Focused,100.0,1
3410,15:24:24,1,fear,Focused,100.0,1
3420,15:24:25,1,fear,Focused,100.0,1
3430,15:24:25,1,fear,Focused,100.0,1
3440,15:24:25,1,fear,Focused,100.0,1
3450,15:24:25,1,fear,Focused,100.0,1
3460,15:24:25,1,fear,Focused,100.0,1
3470,15:24:25,1,fear,Focused,100.0,1
3480,15:24:26,1,fear,Focused,100.0,1
3490,15:24:26,1,happy,Distracted,0.0,2
3490,15:24:26,2,happy,Distracted,0.0,2
3500,15:24:26,1,happy,Distracted,0.0,1
3510,15:24:26,1,sad,Distracted,0.0,1
3520,15:24:26,1,fear,Focused,100.0,1
3530,15:24:26,1,fear,Focused,100.0,1
3540,15:24:26,1,fear,Focused,100.0,1
3550,15:24:26,1,happy,Distracted,0.0,1
3560,15:24:26,1,fear,Focused,100.0,1
3570,15:24:26,1,fear,Focused,100.0,1
3580,15:24:26,1,fear,Focused,100.0,1
3590,15:24:27,1,fear,Focused,100.0,1
3600,15:24:27,1,fear,Focused,100.0,1
3610,15:24:27,1,fear,Distracted,0.0,1
3620,15:24:27,1,fear,Focused,100.0,1
3630,15:24:27,1,fear,Focused,100.0,1
3640,15:24:27,1,fear,Focused,100.0,1
3650,15:24:27,1,fear,Focused,100.0,1
3660,15:24:27,1,fear,Focused,100.0,1
3670,15:24:27,1,fear,Focused,100.0,1
3680,15:24:27,1,fear,Focused,100.0,1
3690,15:24:27,1,fear,Distracted,0.0,1
3700,15:24:28,1,fear,Focused,100.0,1
3710,15:24:28,1,surprise,Focused,100.0,1
3720,15:24:28,1,fear,Distracted,0.0,1
3730,15:24:28,1,surprise,Focused,100.0,1
3740,15:24:28,1,surprise,Focused,100.0,1
3750,15:24:29,1,surprise,Focused,100.0,1
3760,15:24:29,1,surprise,Focused,100.0,1
3770,15:24:29,1,surprise,Focused,100.0,1
3780,15:24:29,1,surprise,Focused,100.0,1
3790,15:24:29,1,surprise,Focused,100.0,1
3800,15:24:29,1,surprise,Focused,100.0,1
3810,15:24:29,1,fear,Distracted,0.0,1
3820,15:24:29,1,surprise,Focused,100.0,1
3830,15:24:29,1,surprise,Focused,100.0,1
3840,15:24:29,1,surprise,Focused,100.0,1
3850,15:24:29,1,surprise,Focused,100.0,1
3860,15:24:30,1,surprise,Focused,100.0,1
3870,15:24:30,1,neutral,Distracted,0.0,1
3880,15:24:30,1,surprise,Focused,100.0,1
3890,15:24:30,1,neutral,Distracted,0.0,1
3900,15:24:30,1,sad,Distracted,0.0,1
3910,15:24:30,1,surprise,Focused,100.0,1
3920,15:24:30,1,happy,Distracted,0.0,1
3930,15:24:30,1,happy,Distracted,0.0,1
3940,15:24:30,1,happy,Distracted,0.0,1
3950,15:24:30,1,happy,Distracted,0.0,2
3950,15:24:30,2,neutral,Distracted,0.0,2
3960,15:24:30,1,happy,Distracted,0.0,2
3960,15:24:30,2,neutral,Distracted,0.0,2
3970,15:24:31,1,sad,Distracted,0.0,1
3980,15:24:31,1,happy,Distracted,0.0,1
3990,15:24:31,1,happy,Distracted,0.0,1
4000,15:24:31,1,fear,Distracted,0.0,1
4010,15:24:31,1,happy,Focused,100.0,1
4020,15:24:31,1,surprise,Focused,100.0,1
4030,15:24:32,1,surprise,Focused,100.0,1
4040,15:24:32,1,happy,Focused,100.0,1
4050,15:24:32,1,surprise,Focused,100.0,1
4060,15:24:32,1,surprise,Focused,100.0,1
4070,15:24:32,1,sad,Distracted,0.0,1
4080,15:24:32,1,sad,Distracted,0.0,1
4090,15:24:32,1,sad,Distracted,0.0,1
4100,15:24:32,1,happy,Focused,100.0,1
4110,15:24:32,1,happy,Distracted,0.0,2
4110,15:24:32,2,sad,Distracted,0.0,2
4120,15:24:32,1,sad,Distracted,0.0,1
4130,15:24:33,1,happy,Distracted,0.0,1
4140,15:24:33,1,happy,Distracted,0.0,1
4150,15:24:33,1,happy,Distracted,0.0,1
4160,15:24:33,1,happy,Focused,100.0,1
4170,15:24:33,1,happy,Distracted,0.0,1
4180,15:24:33,1,happy,Distracted,0.0,1
4190,15:24:33,1,happy,Distracted,0.0,2
4190,15:24:33,2,happy,Distracted,0.0,2
4200,15:24:33,1,happy,Distracted,0.0,1
4210,15:24:33,1,happy,Distracted,0.0,2
4210,15:24:33,2,fear,Distracted,0.0,2
4220,15:24:33,1,happy,Distracted,0.0,1
4230,15:24:34,1,surprise,Focused,100.0,1
4240,15:24:34,1,fear,Distracted,0.0,2
4240,15:24:34,2,neutral,Distracted,0.0,2
4250,15:24:34,1,happy,Distracted,0.0,2
4250,15:24:34,2,sad,Distracted,0.0,2
4260,15:24:34,1,happy,Distracted,0.0,3
4260,15:24:34,2,neutral,Distracted,0.0,3
4260,15:24:34,3,neutral,Distracted,0.0,3
4270,15:24:35,1,happy,Distracted,0.0,3
4270,15:24:35,2,sad,Distracted,0.0,3
4270,15:24:35,3,fear,Distracted,0.0,3
4280,15:24:35,1,happy,Distracted,0.0,2
4280,15:24:35,2,fear,Distracted,0.0,2
4290,15:24:35,1,fear,Distracted,0.0,1
4300,15:24:35,1,fear,Distracted,0.0,1
4310,15:24:35,1,fear,Distracted,0.0,3
4310,15:24:35,2,fear,Distracted,0.0,3
4310,15:24:35,3,fear,Distracted,0.0,3
4320,15:24:35,1,surprise,Focused,100.0,1
4330,15:24:35,1,surprise,Focused,100.0,1
4340,15:24:35,1,surprise,Focused,100.0,1
4350,15:24:36,1,surprise,Focused,100.0,1
4360,15:24:36,1,surprise,Focused,100.0,1
4370,15:24:36,1,surprise,Focused,100.0,1
4380,15:24:36,1,surprise,Focused,100.0,1
4390,15:24:36,1,surprise,Focused,100.0,1
4400,15:24:36,1,surprise,Focused,100.0,1
4410,15:24:36,1,fear,Distracted,0.0,1
4420,15:24:36,1,surprise,Focused,100.0,1
4430,15:24:36,1,neutral,Distracted,0.0,1
4440,15:24:36,1,neutral,Distracted,0.0,1
4450,15:24:37,1,surprise,Focused,100.0,1
4460,15:24:37,1,surprise,Focused,100.0,1
4470,15:24:37,1,surprise,Focused,100.0,1
4480,15:24:37,1,neutral,Distracted,0.0,2
4480,15:24:37,2,happy,Distracted,0.0,2
4490,15:24:37,1,sad,Distracted,0.0,2
4490,15:24:37,2,neutral,Distracted,0.0,2
4500,15:24:37,1,happy,Distracted,0.0,2
