Frame,Timestamp,Total Students,Focused Students,Focus %,Face 1 Emotion,Face 1 Focus,Face 2 Emotion,Face 2 Focus,Face 3 Emotion,Face 3 Focus
2330,13:23:45,3,0,0.0,fear,Distracted,happy,Distracted,neutral,Distracted
2340,13:23:46,1,0,0.0,happy,Distracted,,,,
2350,13:23:46,2,0,0.0,neutral,Distracted,happy,Distracted,,
2360,13:23:46,2,0,0.0,neutral,Distracted,happy,Distracted,,
2370,13:23:46,2,0,0.0,neutral,Distracted,happy,Distracted,,
2380,13:23:46,1,0,0.0,happy,Distracted,,,,
2390,13:23:46,1,0,0.0,happy,Distracted,,,,
2400,13:23:46,1,0,0.0,fear,Distracted,,,,
2410,13:23:46,2,0,0.0,fear,Distracted,sad,Distracted,,
2420,13:23:46,2,0,0.0,sad,Distracted,disgust,Distracted,,
2430,13:23:47,1,0,0.0,surprise,Distracted,,,,
2440,13:23:47,1,1,100.0,fear,Focused,,,,
2450,13:23:47,1,1,100.0,fear,Focused,,,,
2460,13:23:47,1,1,100.0,fear,Focused,,,,
2470,13:23:47,1,1,100.0,fear,Focused,,,,
2480,13:23:47,1,1,100.0,fear,Focused,,,,
2490,13:23:47,1,1,100.0,fear,Focused,,,,
2500,13:23:47,1,1,100.0,fear,Focused,,,,
2510,13:23:47,1,0,0.0,fear,Distracted,,,,
2520,13:23:48,1,1,100.0,fear,Focused,,,,
2530,13:23:48,1,1,100.0,fear,Focused,,,,
2540,13:23:48,1,1,100.0,fear,Focused,,,,
2550,13:23:48,1,1,100.0,fear,Focused,,,,
2560,13:23:48,1,1,100.0,fear,Focused,,,,
2570,13:23:48,1,1,100.0,fear,Focused,,,,
2580,13:23:48,1,1,100.0,fear,Focused,,,,
2590,13:23:48,1,1,100.0,fear,Focused,,,,
2600,13:23:49,1,1,100.0,fear,Focused,,,,
2610,13:23:49,1,0,0.0,fear,Distracted,,,,
2620,13:23:49,1,0,0.0,fear,Distracted,,,,
2630,13:23:49,1,1,100.0,fear,Focused,,,,
2640,13:23:49,1,1,100.0,fear,Focused,,,,
2650,13:23:49,1,1,100.0,fear,Focused,,,,
2660,13:23:49,1,1,100.0,fear,Focused,,,,
